Column1;coefHML;coefSML;coeffundflows;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorfundflows;pvalorrmrf;r2
BWA;0,005985346;0,003289188;-0,297047374;0,012524778;-0,002114238;1,70E-10;0,040220326;0,413701601;0,1835154;2,14E-31;0,58542831
FRT;0,009775619;0,006285997;0,301375948;0,012141405;-0,006824053;1,12E-21;0,000142896;0,010060273;0,184625092;2,15E-29;0,651438445
BG;0,006045781;0,001103822;0,274036758;0,006674331;0,000734831;7,48E-12;0,459034006;0,760881721;0,189039096;9,75E-14;0,40587774
HD;-5,01E-05;-0,001177976;0,249499647;0,011442168;-0,002063075;0,94733408;0,387318603;0,350279615;0,190656051;2,21E-34;0,567529813
GD;0,005020393;-0,002353934;0,178191581;0,008974722;-0,001159514;4,49E-17;0,016733605;0,464109356;0,192625068;1,33E-38;0,660453494
NEE;-0,00055896;-0,002046578;0,289533076;0,008445572;-0,003277956;0,52899814;0,199971374;0,205276393;0,194485333;8,85E-18;0,344681805
NXPI;0,00224521;0,005945422;0,293538325;0,013063549;-0,001555962;0,013676321;0,000313893;0,554132485;0,196313568;1,78E-32;0,59788853
ITW;0,002660311;-0,000945791;0,170224395;0,010409412;-0,001895097;9,02E-07;0,316094896;0,215495707;0,197022594;2,56E-48;0,702801627
PSX;0,011916334;0,004002283;0,326195498;0,00771122;-0,000984336;1,63E-24;0,028623483;0,738259953;0,199940137;1,26E-12;0,530040945
CAG;-0,000384496;-0,003486095;-0,249163335;0,00330239;0,00025681;0,619187281;0,012766143;0,909153221;0,200105052;3,21E-05;0,098730619
DLR;-0,00168126;-0,001553574;0,276720177;0,00843331;-0,003901338;0,051802938;0,315159554;0,120296565;0,200807928;1,35E-18;0,367415759
BLK;7,55E-05;-0,000560229;0,199656169;0,012959483;-0,001684414;0,90447408;0,619910598;0,357882828;0,206707981;1,73E-50;0,710083987
APH;0,002016716;0,003463988;0,160273844;0,010069939;0,000125908;0,000102591;0,000197774;0,932266232;0,210482857;3,68E-48;0,725296496
ANSS;-0,005951407;0,001336925;0,226260806;0,011115388;-0,00170313;2,30E-14;0,302799902;0,417714007;0,212339902;2,54E-35;0,647245133
NSC;0,003946193;-1,34E-05;0,225451788;0,00917828;-0,002063751;1,36E-07;0,991729675;0,326491746;0,214154465;3,36E-27;0,52438121
STE;-0,000261065;-0,000469722;0,262698754;0,009340137;-0,00164768;0,756575061;0,756090755;0,501593561;0,214680265;2,40E-22;0,421442661
DD;0,006084876;0,00542283;-0,228640237;0,010395806;-0,000391878;2,10E-14;5,94E-05;0,854921916;0,216893576;1,96E-31;0,62526133
