;coefHML;coefSML;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorrmrf;r2
BMY;0,0002596276356022244;-0,0034759423662575092;0,006368788302952147;-0,0013295239597147493;0,6293346434438984;6,62047530837473e-07;0,15711579745297435;8,762672316707465e-58;0,18843978689658403
CB;0,004969961000098211;-0,0035783506632126724;0,009893928574826471;0,00026295855711243863;2,089717896857925e-19;3,9507043397003276e-07;0,7814687314877818;1,7160826274754576e-119;0,3937796890299837
ADP;9,433332053068318e-05;-0,003009617024732609;0,00952667761236573;-0,0001361385776471934;0,8111771274387128;4,814718541420025e-09;0,8434892377415439;3,291728549506913e-183;0,48931042809398917
MMC;0,000957515633858821;-0,0044709990704027815;0,008907866684575216;-0,0003231687682642515;0,038823803718051275;1,5277498906288743e-13;0,6894341285424788;3,805434676727358e-130;0,3827622095870137
BSX;0,0014309661961094088;-0,0009011393662078382;0,009843050766995626;-0,0004083684816054327;0,030506465582878544;0,2917901187646131;0,7234416096281069;9,203614982988701e-86;0,2781545672843574
REGN;-0,006061882736541277;0,008315212610953065;0,011671474795168451;0,001483491205349856;1,246969376754633e-07;2,104151713360246e-08;0,4563396024719467;1,1194808543796483e-44;0,20969794891467408
SBUX;0,0005064089366339841;0,0008981998956982191;0,010245893103103977;0,0008966723916222244;0,37751977774288037;0,22624189507358855;0,37091872191733744;1,2646917382670168e-115;0,3625244001604364
ADI;-0,0046774809465511226;0,0042973169685134255;0,012601863779773206;-0,000821521003900165;2,3011681027004685e-12;5,516955511498652e-07;0,47621055156765424;1,5209613906126237e-128;0,4250304575436441
LMT;0,0021126204983337917;-0,00223584200618077;0,005848135663806972;0,0011969293489940947;6,200044681481386e-06;0,0002127844551624351;0,14113157449776564;4,599162501223343e-64;0,22356668063350404
FI;0,00048807383563491695;-0,0018068533482150744;0,009871503477569186;0,0008408820077199461;0,3157076845524336;0,004132806268073622;0,3222571799123505;1,7631044166528884e-141;0,4088977003896388
KLAC;-0,004917103093698736;0,005473387598308783;0,0151405048076869;-0,00035080454710676617;6,243326772044148e-12;3,0148728164408e-09;0,776803528089105;4,7472687147010843e-153;0,48027238109144155
CVS;0,0018950697807743582;-0,0023075684627805407;0,006800579295882215;-0,00017100552029135048;0,0008789921077530662;0,0017307744165370798;0,8632226661703294;7,609473981090906e-59;0,20158039582903753
BX;0,005721424921581368;0,00035139916896390793;0,012950969357203915;-0,0013849175287954376;5,059960981151819e-16;0,6963579921031162;0,2548136083680492;2,040702588346573e-123;0,4048926231926656
MDLZ;0,00029799231411551524;-0,0028580652555825754;0,005486651154395273;-0,0003535236898340922;0,48390242301046327;2,4115922852182865e-07;0,6343690398206099;5,362258624232749e-67;0,21595607382702775
AMT;-0,0015925176948399355;0,001500033790970095;0,011121339339814;-0,00041732693336664714;0,10338525806368228;0,23543340139581156;0,8068268619381299;6,806227131197328e-54;0,18918153490970402
SNPS;-0,004579909266842736;-0,0015518955689218083;0,010466181568493091;0,0008445386471246622;3,009052930402697e-14;0,044197307293269275;0,4170766125096522;1,3772099149474774e-112;0,35194885802848197
GILD;-0,002859343057988493;0,0001432363858474886;0,008121411049940769;0,001500899106927915;9,73005989657363e-05;0,8796500699225032;0,2401346883902838;1,3247934061519844e-51;0,18103675894963212
PANW;-0,0037498793459915863;0,0008277750525421636;0,0042613673496024965;0,0016349996417743744;2,0142670517374132e-11;0,24830180599990598;0,09137048121532766;9,048968488329291e-27;0,12350714427132736
CDNS;-0,0035677884069743203;0,001412582751850743;0,012914141231941886;5,0102111245246815e-05;9,900997783785495e-07;0,1324195807808683;0,9684601513541462;5,245953330974488e-115;0,3652171275652031
TMUS;0,0016291543132343237;0,0004173328436766656;0,006787864746157156;-0,000515371354105811;0,020798589721334453;0,6467088936133769;0,6750900621156036;3,6555795393340704e-40;0,1460904471757306
CMG;9,579744808984271e-05;0,003111518509515762;0,007053001659096648;0,0018222650674638002;0,8867420927023077;0,0003598090582424177;0,12098344855844909;1,2216837550330273e-46;0,18248924714853698
MPC;0,005818231880543313;0,002632035278932865;0,005571914791900778;0,0002785364373233007;8,0308879796257045e-22;0,0006436269227032388;0,788651568965621;3,989114324915708e-38;0,2087926888646191
