;coefHML;coefSML;coeffundflows;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorfundflows;pvalorrmrf;r2
SBUX;0,0009217245488902569;-0,0019469155830041383;-0,18314201918813117;0,009956491367173815;-0,0004347239728939192;0,17235430376561034;0,08309369802018052;0,7904370039349462;0,1345605760556287;1,408563387961315e-43;0,47791995569028145
ADI;-0,00028440230859805575;0,0027880066870602438;0,051954572011220945;0,010309137595653543;-6,042955524235695e-05;0,6518077570077774;0,008114856728569098;0,9684631122257317;0,6490720961349359;2,591275397259611e-50;0,5695971738694043
LMT;0,003186472665553595;-0,005271946637684034;-0,12116739692382497;0,007851256383163578;-0,0006511807344144225;2,253405514783055e-06;2,486340228299505e-06;0,6849118429086642;0,31237673202785116;1,5120634067872363e-31;0,40027150311671367
FI;0,0022029700297203337;-0,0020393976917112743;-0,08898443645690238;0,009593516281027841;0,00011390824170478186;0,0003555402231136523;0,04510418859671501;0,9386845466757581;0,4212888976920939;1,37378703538883e-47;0,5212542027959084
KLAC;-0,0022650710802156423;0,0011292380287935512;0,06447456351644038;0,014001985533462501;0,0019131601730633437;0,014531092047104443;0,46146428589609;0,39274290803046263;0,6996196577419405;2,448994391729329e-45;0,5206993025606199
CVS;0,002736693527324733;-0,0018429290282417007;0,3295371246795418;0,00832842754746893;-0,002770650925436825;0,0007429693566007007;0,16832458892074256;0,15596544095281517;0,02420911549058592;1,4995126337022848e-25;0,361096462579113
BX;-0,00015161767410156292;0,0034515439315075166;0,0455086584212816;0,014065067583154716;0,001150396332834518;0,8587829403411522;0,015275615042270856;0,5779107881948868;0,7681556432566199;6,28204715037283e-51;0,570695619839483
MDLZ;0,000532259117990391;-0,004642963402060661;-0,016835990094625303;0,006869056131893832;-0,00015447154310885888;0,31457627108685005;2,356844968893923e-07;0,9041464256684206;0,8604988839557404;3,766966131197579e-36;0,4205207158932479
AMT;-0,0015116521484947365;-0,0037368743050744946;0,07861514534349391;0,008509111989907862;-0,0010477747376472662;0,03723364959795531;0,002029771028919304;0,5503529738080175;0,548510277462992;3,8633210972895e-31;0,37965389725868437
SNPS;-0,006581153646898427;-0,002194527282582457;-0,003709112854980115;0,011379923965947785;0,0026639967422547885;6,248072050077985e-23;0,032509293115328144;0,07504137755544966;0,9734565153096681;2,8678194996209316e-59;0,6470921781774184
GILD;-0,0004174183362288381;-0,001496019540568916;-0,010822756982286075;0,004650528711085417;-0,0010698879262227119;0,5930778131079233;0,24951115738268015;0,5723016750024028;0,9390203250398224;1,9557872300785096e-10;0,1309646240257928
PANW;-0,004951587740135508;0,0014481992738379014;-0,15122526714163914;0,010402347884358525;0,003349703577403735;6,199096788415674e-07;0,3708711012743158;0,1565951264104701;0,3913277628603813;7,935805557564534e-27;0,37631807960008323
CDNS;-0,006620336274140341;-0,0019337223803453656;-0,017255851067407013;0,01092338048853703;0,003007796309121114;5,648026127472294e-21;0,07616310609953979;0,05887286769311341;0,8842858945263619;1,0520854503350073e-51;0,6036211368585812
TMUS;-0,0005937376835056851;-0,0015630633047520317;0,19130029324008174;0,007322735771875487;0,000541298709744749;0,36625297730862505;0,15274022711795493;0,7340148040099435;0,10856739672438204;1,1708544492339712e-28;0,36641776753624034
CMG;-0,0035671000010879827;0,0029441651183356107;0,05059183497463633;0,010843434250847713;0,0036050997932771727;0,00016112246697456303;0,058683935888717224;0,11243307153642763;0,7650484845530222;1,7678979047167466e-30;0,4155698496563256
MPC;0,012808201110670126;0,0037868752581525023;-0,09832568310361656;0,012962926408443879;0,0002366415352896556;2,7512946523865304e-30;0,023644930898388584;0,9225023296962329;0,5884399717409916;6,892526072885073e-36;0,5745283884943104
EOG;0,011964116023336923;0,005117202761074805;-0,04404560518363554;0,01018111793199909;-0,0015339426457381025;2,283561953805428e-20;0,010992453351986058;0,5996634856105637;0,8400417006605536;1,91544394657976e-18;0,41359301117014047
ICE;-0,0013498325615402995;-0,002260925843143039;-0,04815980046088192;0,008545279659163324;-0,0002724287345426971;0,013613521630262165;0,01289317575356199;0,8365472114579288;0,6253633680411889;1,6205220586969703e-47;0,5140364158759426
TGT;-0,002015921931811127;-0,0015864842519328786;-0,028245402088017568;0,008559757212262466;0,000289495256892498;0,04950491832520296;0,3510867604158937;0,9071331340128617;0,8788742331415845;3,835101915442103e-18;0,23768249057016766
SHW;-0,00039650404154410333;-0,0012819963263685811;0,022477882659407693;0,010048318771842892;4,872928616963352e-05;0,5503013414059982;0,2455503689626143;0,9758495254517081;0,8516839901589816;3,594524959032911e-45;0,5016424670129997
SLB;0,014196692296735359;0,006688857102331406;-0,001044242373516524;0,011018372348536483;-0,0030374421162169575;1,3238114937707886e-32;0,00017236695327473557;0,23764969816410048;0,9956579098519878;1,0416719988747344e-25;0,545390448135858
CME;0,0009092841440550023;-0,0029128359241698864;-0,007540389491384136;0,006555197849587927;-0,0006216607836327467;0,1765553203815715;0,009465144767380933;0,7028742708892642;0,9505973738003812;3,125187806899078e-23;0,2903998253048393
SO;0,0030297122075761294;-0,0037753109342750658;-0,31513439314899044;0,007885828422705505;0,00010488586370185102;4,136391403308843e-06;0,000504005874617661;0,9466861246063463;0,007485342415823485;7,070179463705106e-33;0,4005264317493862
ZTS;-0,0034884709269603024;-0,0016266598041936265;0,054531279851789266;0,009916630130148978;0,0004914374850537127;4,449530959487119e-08;0,11628483390985167;0,7446514539094936;0,6284875300521002;1,4910627131209823e-48;0,547998678469291
WM;0,0009737849438404248;-0,003633250527790301;0,05803899133197364;0,0064989414324368;0,00040539183263359484;0,06212130954530613;3,44844597480294e-05;0,7481726962952375;0,5383567409503838;4,5538030839792925e-34;0,40908177297111303
ANET;-0,003090657218703285;0,002677731144098098;0,40485687147214494;0,010595528117961949;0,0008802407215150352;0,011177965797079015;0,18423690950697372;0,7645978570213803;0,06589001334784009;1,7482991021108972e-19;0,30105033084777455
DUK;0,003037265316852553;-0,0043896042273985185;-0,2595368497640459;0,007002488856647983;-0,000610056237296186;2,0633981405665596e-06;3,3715153521403935e-05;0,6888754812996687;0,023121540811814237;1,191513375412106e-28;0,3675285610969633
MO;0,003639578503675131;-0,003189034247021404;-0,10991145343734661;0,0069616668612672555;-0,003236683019676417;4,5204568475171987e-07;0,006923673685094555;0,05963058625914614;0,39068694343741905;1,3302790179121815e-23;0,32834624920778943
EQIX;-0,003647411698120419;-0,003726117922595129;-0,06661052886567828;0,00860093626195953;-0,00030493789211170994;6,979601481671085e-07;0,002011918348841672;0,8614620429230487;0,6098245951584995;7,764030613841582e-32;0,40170841223229137
PH;0,006446950239329242;0,0035433685433974237;0,06251682170563694;0,013285264486438342;-0,00028874691872093927;3,4717322320792146e-23;0,00042203876868415996;0,8423785049130882;0,5643904890121304;2,2286581258086694e-74;0,7382101320636264
PSX;0,011624868393957283;0,0037445045990965914;-0,01726103443815269;0,009129934983987406;-0,0008166630648932314;1,4429231544859872e-32;0,009826073083488812;0,6981341760841935;0,912589893588662;3,6734874577641726e-26;0,537017296671143
