;coefHML;coefSML;coeffundflows;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorfundflows;pvalorrmrf;r2
UNP;0,003192925008255907;-0,000503673892745504;0,09621867395733559;0,009316782951884341;-0,0013518941193585274;2,7479932913314903e-06;0,6683078229517108;0,47784732584633494;0,5352493099184593;2,6111885086948025e-33;0,5672792791180092
AMGN;-0,00024013480436478477;-0,003298857442634683;0,24158907903224575;0,0053767149682558925;-0,0013984733472382014;0,7414938108174627;0,01123195738256535;0,5038076735761488;0,15721305589220214;8,564929624554238e-13;0,25173604304936203
PM;0,001961028810835026;-0,004599933361010045;0,0076007349868637535;0,00846513654820437;-0,001881787660688052;0,006818676742171023;0,00037804285359413676;0,36225189953169845;0,9639438089287844;5,272205931219635e-26;0,4476779690304067
LOW;-0,00010852093820016512;-0,001395806175662906;0,19425548057046332;0,013226622729018596;-0,0008931689056553054;0,8988343218500949;0,35701028043876504;0,7156968110423133;0,33149239960127286;6,402566144073423e-38;0,5889298009791604
SPGI;-0,0014696195326329958;-0,0030090470478914906;0,10963843288963471;0,010764082481960213;-0,0007207885274115254;0,012816439297461221;0,004154728255605439;0,668573927066971;0,4244821594482293;5,777223801812312e-47;0,6611076591407696
ISRG;-0,002690456748682842;0,00019696559475938796;0,2149168228236098;0,013036150913520922;-0,001248285746595474;0,0010842297279938355;0,8912891160278268;0,5929194973376483;0,2592529766842586;1,1485715425139842e-39;0,6206717561615844
MU;0,0018942950742762779;0,0016465515640543596;0,0032552878659498027;0,011997496643866127;-0,0008859916311807504;0,0782357103799843;0,3867133546554252;0,7734970757898487;0,9896454503024537;3,8957507270267975e-24;0,4447178322788865
RTX;0,007984909114048226;0,0012525267820824733;0,29042252620278247;0,010975472195420475;-0,004472993879461075;2,765754162778518e-20;0,36361459884999636;0,046003295812768547;0,11123097457354382;1,5142101971673669e-33;0,6490271238006129
GS;0,0062242606794329055;0,0012597298506719743;0,06995714768998627;0,012594179628046398;-0,0010916027501274585;2,6018810179018213e-20;0,24103131112347007;0,5300002356210487;0,6213161890965277;2,1669317591557356e-54;0,7648998515925682
NEE;-0,0005779410784387028;-0,0011182035679124574;0,059230763542034395;0,009013024701703804;-0,002482118040188245;0,5189721586998475;0,4817335587097604;0,3352235315143386;0,7775701200211356;1,3418756324916232e-20;0,3720523511377696
HON;0,004938789952825278;-0,0008200771197137287;0,24000667907712916;0,010408311542084454;-0,002705174831911669;1,0305439839247513e-15;0,41564428287465205;0,09820773076047518;0,07197736607440916;7,219708036405611e-47;0,7111594112147624
ETN;0,004660439428731248;-9,704301479549777e-05;0,2206856039976999;0,010767158407542768;0,0009066676980083192;6,484777681676162e-12;0,9318254869462128;0,6217757969598204;0,14153422431568347;3,582826682112114e-42;0,6711170291514876
AXP;0,007655418441378964;0,0011758874417335404;0,34730552038611856;0,013988734586371695;-0,0028083660999946142;9,169627884773517e-20;0,381848093928026;0,19771993525413467;0,051217461412679174;2,860166065308664e-47;0,7320145738862901
LRCX;-0,0022484247537917857;-0,0007137822578901134;0,05475250196544589;0,01738040442363682;0,0004314199394994768;0,04435291542246097;0,7176065077356436;0,8926282800971103;0,8335012095136056;2,55103453225643e-38;0,5936061621028061
BKNG;0,0033830929496073817;0,0034017750214008534;0,08637210971615684;0,012021136032791094;-0,0008096581499401549;0,0001937175499653081;0,03254592999040696;0,7521103726617692;0,6792728635664382;2,0290442058517115e-31;0,5634303223017012
PGR;0,001216946447011257;-0,006871357293271866;0,2084513827138244;0,006277008270456184;0,0014010483703991658;0,10705107122418922;6,016423039536533e-07;0,5172132625713248;0,23757811675416568;1,871875463281265e-15;0,31935145606522164
