Change_date;Ticker_added;added;ticker_removed;removed
April 2, 2014;ESS;Essex Property Trust;CLF;Cliffs Natural Resources
March 21, 2014;GMCR;Keurig Green Mountain;WPX;WPX Energy
December 23, 2013;ADS;Alliance Data Systems;ANF;Abercrombie & Fitch
December 23, 2013;MHK;Mohawk Industries;JDSU;JDS Uniphase
December 23, 2013;FB;Facebook;TER;Teradyne
September 20, 2013;VRTX;Vertex Pharmaceuticals;AMD;Advanced Micro Devices
September 20, 2013;AME;Ametek;SAI;SAIC
February 15, 2013;PVH;PVH;BIG;Big Lots
December 11, 2012;GRMN;Garmin;RRD;RR Donnelley
December 31, 2011;WPX;WPX Energy;CPWR;Compuware
December 16, 2011;BWA;BorgWarner;AKS;AK Steel
December 16, 2011;PRGO;Perrigo;MWW;Monster Worldwide
December 16, 2011;DLTR;Dollar Tree;WFR;MEMC Electronic Materials
October 31, 2011;XYL;Xylem;ITT;ITT
October 14, 2011;TEL;TE Connectivity;CEPH;Cephalon
September 23, 2011;MOS;The Mosaic Company;NSM;National Semiconductor
July 5, 2011;ACN;Accenture;MI;Marshall & Ilsley
June 30, 2011;MPC;Marathon Oil;RSH;RadioShack
June 1, 2011;ANR;Alpha Natural Resources;MEE;Massey Energy
April 27, 2011;CMG;Chipotle Mexican Grill;NOVL;Novell
April 1, 2011;BLK;BlackRock;GENZ;Genzyme
March 31, 2011;EW;Edwards Lifesciences;Q;Qwest Communications
February 28, 2011;COV;Covidien;MFE;McAfee
February 25, 2011;JOYG;Joy Global;AYE;Allegheny Energy
December 17, 2010;CVC;Cablevision;KG;King Pharmaceuticals
December 17, 2010;FFIV;F5 Networks;EK;Eastman Kodak
December 17, 2010;NFLX;Netflix;ODP;Office Depot
December 17, 2010;NFX;Newfield Exploration;NYT;The New York Times Company
November 17, 2010;IR;Ingersoll-Rand;PTV;Pactiv
August 26, 2010;TYC;Tyco International;SII;Smith International
July 14, 2010;CB;Chubb;MIL;Millipore
June 30, 2010;QEP;QEP Resources;STR;Questar
June 28, 2010;KMX;CarMax;XTO;XTO Energy
April 29, 2010;CERN;Cerner;BJS;BJ Services
February 26, 2010;HP;Helmerich & Payne;RX;IMS Health
December 18, 2009;V;Visa;CIEN;Ciena
December 18, 2009;MJN;Mead Johnson Nutrition;DYN;Dynegy
December 18, 2009;CLF;Cliffs Natural Resources;KBH;KB Home
December 18, 2009;SAI;SAIC;CVG;Convergys
December 18, 2009;ROST;Ross Stores;MBI;MBIA
November 3, 2009;PCLN;Priceline.com;SGP;Schering-Plough
September 28, 2009;ARG;Airgas;CBE;Cooper Industries
August 19, 2009;FMC;FMC Corporation;CTX;Centex Corp.
June 29, 2009;PCS;MetroPCS;;
June 25, 2009;N/A;N/A;TEL;TE Connectivity
June 5, 2009;FTI;FMC Technologies;COV;Covidien
March 3, 2009;HRL;Hormel Foods;ACAS;American Capital
March 3, 2009;VTR;Ventas;JNY;Jones Apparel Group
December 31, 2008;OI;Owens-Illinois;WB;Wachovia Bank
September 16, 2008;HRS;Harris Corporation;LEH;Lehman Brothers
September 12, 2008;CRM;Salesforce;FRE;Freddie Mac
September 12, 2008;FAST;Fastenal;FNM;Fannie Mae
